material,ethanol_pct,temperature_C,water_ppm,chloride_mg_L,dissolved_O2_ppm,TAN_mgKOH_g,conductivity_uS_cm,flow_velocity_m_s,exposure_hours,surface_roughness_Ra_um,inhibitor_present,pH,corrosion_rate_mm_per_y
ZnCoatedSteel,10,40.75,206.5,10.05,7.35,0.136,49.6,0.576,285,1.649,1,6.81,0.01214
Copper,0,37.25,96.2,5.41,4.83,0.076,19.55,0.44,195,0.89,0,6.97,0.03231
ZnCoatedSteel,5,15.58,347.1,4.2,3.91,0.119,36.82,0.42,44,0.112,0,6.38,0.03772
LowCarbonSteel,0,47.01,249.1,14.93,6.09,0.073,13.17,1.115,109,0.869,0,7.34,0.05976
Brass,0,49.53,452.1,13.16,4.07,0.077,21.53,0.339,85,0.798,0,6.24,0.01323
Al6061,0,34.72,438.5,1.99,7.76,0.138,12.67,0.067,119,0.196,0,7.09,0.01837
LowCarbonSteel,10,21.21,209.1,17.08,7.36,0.2,27.72,0.353,89,1.891,1,6.98,0.04546
Copper,15,29.32,515,15.08,1.52,0.065,70.28,1.352,90,1.011,1,7.1,0.0369
LowCarbonSteel,15,29.17,427.6,6.64,1,0.138,53,0.73,52,1.336,1,6.86,0.04793
ZnCoatedSteel,10,56.46,371.4,7.83,4.21,0.05,34.26,0.407,76,1.208,1,6.64,0.00821
SS304,15,64.5,555.5,3.38,6.21,0.138,56.4,0.246,85,1.845,0,6.7,0.00098
SS304,5,58.94,402.5,14.28,7.06,0.082,20.67,0.462,148,1.036,0,6.76,0.00171
SS304,15,55.15,471.6,8.64,7.06,0.15,55.77,0.552,141,1.208,0,5.69,0.00144
LowCarbonSteel,15,38.99,408.6,35.99,5.06,0.123,75.71,0.511,320,1.42,0,6.5,0.04424
SS304,15,60.97,346.3,2.9,2.7,0.129,62.06,0.129,131,1.222,1,6.26,0.00083
Copper,5,17.97,428.9,8.19,6.73,0.106,34.76,1.161,202,0.05,0,7.64,0.05725
SS304,5,53.59,263.9,11.43,6.03,0.134,29.06,0.733,48,0.902,0,6.78,0.0022
Brass,10,64.91,508.2,10.06,1.63,0.071,44.06,0.298,240,1.7,1,7.2,0.00909
ZnCoatedSteel,10,48.17,416.3,4.58,7.08,0.224,56.48,0.263,190,0.121,0,6.8,0.0097
Al6061,10,47.05,370.4,3.19,0.78,0.205,53.81,0.188,148,0.593,0,6.06,0.00574
Al6061,5,61.45,325,17.81,0.93,0.146,35.85,0.458,286,1.001,0,7.18,0.00492
Brass,0,20.44,125.4,17.02,7.69,0.158,2.98,0.445,326,0.05,1,6.19,0.01481
ZnCoatedSteel,0,58.12,190,12.69,7.68,0.088,4.82,0.845,266,0.752,0,6.64,0.00809
SS304,15,16.13,284,12.87,1.11,0.169,62.99,0.217,286,0.723,1,6.91,0.00401
ZnCoatedSteel,5,45.05,542.7,2.91,4.83,0.075,38.69,0.398,302,2.741,1,6.16,0.00787
SS304,10,36.41,362,4.74,1.5,0.099,58.85,1.13,303,1.302,0,6.9,0.0034
Brass,10,49.73,386.9,7.31,4.55,0.104,39.73,0.192,68,0.712,0,6.57,0.01477
Copper,0,18.84,378.8,14.98,3.5,0.133,28.65,0.059,125,1.404,1,7.25,0.03682
Copper,5,61.93,307.6,2.55,2.74,0.196,50.47,0.341,26,0.467,0,5.77,0.01083
LowCarbonSteel,5,18.54,394,5.85,7.11,0.122,44.35,0.657,281,1.477,0,6.62,0.07521
Al6061,5,33.31,237.7,0.48,3.54,0.067,51.41,0.963,246,1.037,0,7.29,0.02323
Brass,10,51.75,323.8,21.03,0.81,0.222,46.44,0.803,299,0.67,1,6.93,0.01062
LowCarbonSteel,10,26.99,341.6,0.67,3.28,0.125,52.07,0.299,241,1.247,0,6.46,0.1095
SS304,10,58.2,378.8,2.32,5.31,0.021,58.58,0.101,67,2.111,0,6.18,0.00156
ZnCoatedSteel,5,33.48,260.9,12.19,3.11,0.096,31.89,0.36,299,1.429,1,6.38,0.01306
Brass,5,23.86,523.8,1.51,2.97,0.112,51.98,0.652,207,0.063,0,6.47,0.03922
Copper,10,20.53,589.5,1.84,6.17,0.127,71.84,0.239,122,1.751,0,6.25,0.04404
ZnCoatedSteel,0,53.66,157.3,2.35,3.26,0.103,10.38,0.919,85,1.736,1,6.61,0.00566
Al6061,0,56.09,210.4,4.01,3.13,0.039,26.21,0.058,235,1.139,0,7.15,0.00721
Al6061,5,37.54,192.7,3.59,4.05,0.128,38.19,0.172,143,1.933,1,7.13,0.01281
LowCarbonSteel,10,21.21,300.4,5.53,3.08,0.19,58.05,0.514,200,0.748,0,6.15,0.06772
Al6061,15,43.26,377.5,3.92,4.26,0.111,77.18,0.42,170,0.91,0,6.74,0.01062
ZnCoatedSteel,15,42.28,309.3,26.2,3.32,0.122,63.75,1.015,76,0.184,1,5.87,0.00823
SS304,5,58.38,223,9.38,4.56,0.196,34.73,0.541,52,0.675,0,6.81,0.00106
ZnCoatedSteel,5,24.94,215.8,9.07,7.41,0.044,39.59,0.187,110,0.737,0,6.69,0.02345
Copper,10,42.97,318.5,4.68,7.48,0.065,46.27,0.59,110,1.127,1,6.62,0.01909
ZnCoatedSteel,0,46.44,376.6,4.01,4.54,0.08,20.15,0.953,274,0.331,0,6.63,0.01144
Copper,10,39.73,462,24.84,3.61,0.086,50.62,0.821,39,1.483,1,6.65,0.02427
LowCarbonSteel,0,25.54,230.8,3.56,2.81,0.042,19.32,0.605,77,1.314,1,7.33,0.07364
LowCarbonSteel,0,41.37,251.4,19.63,7.63,0.122,43.28,0.418,62,2.163,0,6.84,0.05712
Copper,0,29.29,383,5.98,7.55,0.102,10.72,0.347,285,1.331,1,6.82,0.02259
Al6061,10,57.16,274.2,10.98,0.76,0.183,53.77,0.631,138,2.262,1,6.81,0.00573
SS304,15,20.82,309.5,36.89,6.79,0.147,72.52,0.346,145,0.05,0,6.31,0.00569
ZnCoatedSteel,0,39.08,0,3.78,1.29,0.079,29.33,0.545,210,0.994,1,6.47,0.00988
LowCarbonSteel,5,59.54,322.6,8.38,1.22,0.112,28.32,0.025,237,2.06,0,6.69,0.02102
Brass,0,22.29,318.8,3.93,5.79,0.111,1.79,0.624,248,1.1,0,6.9,0.02443
Al6061,5,55.33,477.7,32.6,5.51,0.159,26.13,0.169,74,0.914,1,6.44,0.00455
LowCarbonSteel,5,26.92,0,12.91,7.56,0.08,38.5,0.838,245,0.932,0,6.71,0.0791
Al6061,0,66.74,282.1,9.7,4.12,0.163,13.16,1.144,89,2.257,0,6.82,0.00457
SS304,10,49.82,400.5,6.83,7.85,0.182,65.55,0.776,171,1.358,1,6.51,0.001
LowCarbonSteel,5,23.34,537,14.57,3.26,0.183,54.98,0.975,302,1.215,1,6.93,0.07901
Al6061,5,19.35,323.1,4.77,6.35,0.147,50.18,0.531,199,2.531,0,7.56,0.02758
Copper,0,46.96,203.1,16.91,4.51,0.029,33.49,0.676,107,0.938,0,6.8,0.01635
LowCarbonSteel,15,46.3,415.2,10.74,4.11,0.173,62.12,0.126,153,1.846,0,7.4,0.03536
Brass,5,46.37,50.8,6.53,4.12,0.092,29.11,0.571,49,1.576,0,7.06,0.01932
Brass,10,18.82,343.8,9.15,2.25,0.112,47.87,0.584,271,1.594,0,7.31,0.05526
LowCarbonSteel,10,66.13,241.6,2.23,7.82,0.142,30.95,0.565,197,0.389,0,6.84,0.03539
SS304,15,67.06,354.3,6.06,7.9,0.182,59.12,0.491,193,2.04,0,6.41,0.00081
Brass,15,56.01,247.9,15.98,1.62,0.148,70.97,1.121,200,0.948,1,6.73,0.00787
Al6061,10,35.33,388,13.59,4.03,0.163,59.56,0.125,159,0.099,1,6.35,0.00711
ZnCoatedSteel,15,55.88,402.7,18.56,2.43,0.076,50.93,0.019,37,0.958,0,6.52,0.01182
Brass,15,23.64,407.7,4.81,7,0.174,48.47,0.6,232,1.374,0,6.64,0.04509
LowCarbonSteel,0,53.77,0,5.14,3.21,0.104,32.49,0.065,272,1.402,0,6.53,0.03586
ZnCoatedSteel,5,34.42,368.7,7.58,2.74,0.098,42.16,0.319,88,1.049,0,6.69,0.01784
Al6061,0,27.23,287.2,16.17,7.37,0.154,6.28,0.339,231,1.877,1,6.69,0.01078
Copper,15,18.49,325.7,8.24,5.55,0.163,65.39,0.352,110,1.669,0,6,0.04033
LowCarbonSteel,0,53.24,169.8,9.1,5.35,0.13,27.75,0.631,74,1.047,0,6.25,0.02327
ZnCoatedSteel,0,38.31,255.2,4.12,4.01,0.085,25.04,0.879,35,0.995,0,6.59,0.01484
Al6061,0,33.5,370.6,9.21,4.12,0.099,22.04,0.365,150,1.778,0,5.96,0.01218
Brass,10,19.51,400.9,6.4,4.66,0.107,58.27,0.877,39,1.068,0,5.73,0.03179
ZnCoatedSteel,15,41.85,203.8,15.5,7.46,0.175,71.72,0.016,288,1.242,0,6.21,0.01385
SS304,5,50.6,409.2,2.52,7.34,0.129,32.84,0.261,138,0.616,0,6.67,0.00149
SS304,10,42.53,338.9,1.71,6.59,0.176,63.5,0.245,281,0.439,0,6.39,0.00226
Brass,0,22.15,211.7,3.98,7.84,0.083,0.5,0.088,125,0.262,1,6.87,0.02073
Copper,10,39,411.7,8.96,5.19,0.133,66.21,0.674,151,2.207,0,7.26,0.02397
SS304,0,41.02,285.4,4.08,7.81,0.058,15.16,0.458,210,1.62,0,6.75,0.00197
LowCarbonSteel,15,63.45,421,0.28,3.39,0.167,81.27,0.574,155,0.109,1,6.15,0.01746
SS304,10,63.02,594.2,0.46,6.4,0.118,54.11,0.741,162,0.738,0,6.23,0.00168
LowCarbonSteel,0,68.82,107.9,7.58,4.89,0.101,25.71,0.747,125,2.131,1,6.4,0.01965
Copper,10,33.81,355.1,2.65,0.77,0.137,51.83,0.475,69,0.474,0,7.02,0.02911
Copper,15,34.04,520.7,8.62,0.6,0.11,62.16,0.122,302,0.995,1,5.98,0.02708
SS304,5,18.56,485.2,15.78,5.29,0.12,33.27,1.028,274,0.298,0,7,0.00825
Copper,0,15.51,146.5,20.82,6.4,0.102,10.5,0.173,127,0.663,1,6.84,0.04146
SS304,15,40.91,364.1,1.57,0.7,0.152,54.51,0.24,302,1.773,0,6.15,0.00189
SS304,5,69.99,323.3,17.29,3.34,0.141,30.29,1.046,204,1.136,0,6.07,0.00074
SS304,10,57.06,421.7,5.46,1.43,0.121,67.38,0.723,186,0.206,0,6.88,0.00155
ZnCoatedSteel,10,58.37,310.9,0.99,1.69,0.144,47.59,0.271,68,1.083,0,6.48,0.00606
Copper,15,68.83,477.5,5.43,3.01,0.079,62.62,0.953,141,0.558,0,6.35,0.01015
LowCarbonSteel,5,18.51,132.4,10.42,7.45,0.106,53.31,0.191,151,1.14,0,6.15,0.08671
Brass,10,35.1,246.1,0.82,3.68,0.113,62.54,0.16,242,0.92,1,6.89,0.0179
SS304,5,45.77,416.5,0.21,4.59,0.078,30.59,0.078,276,1.353,1,6.01,0.00143
LowCarbonSteel,10,66.87,246.5,7.89,0.89,0.101,49.82,0.161,311,0.879,1,6.07,0.00904
SS304,10,54.5,349.6,0.31,6.95,0.147,48.33,0.255,109,1.422,0,7.05,0.00208
Al6061,10,60.5,221.4,14.27,6.49,0.147,26.64,0.073,72,1.049,1,7.12,0.00407
SS304,15,60.22,415.8,7.76,4.19,0.193,51.94,0.198,152,1.599,1,6.67,0.00095
ZnCoatedSteel,15,43.61,313.3,0.11,4.25,0.176,71.47,0.762,241,0.669,0,6.77,0.01587
SS304,5,30.26,347.2,7.65,1.48,0.108,34.68,1.083,234,1.405,1,7.48,0.00297
SS304,5,27.38,369.4,3.17,2.91,0.077,13.9,0.556,165,0.656,0,6.57,0.00549
Copper,5,62.36,438.5,2.22,5.94,0.046,33.89,1.184,315,1.261,1,6.8,0.01492
Copper,5,46.8,125.4,1.45,3.81,0.087,26.83,1.271,300,1.887,0,5.93,0.01642
ZnCoatedSteel,0,20.3,320.5,0.58,6.84,0.075,24.47,1.155,59,1.161,0,6.69,0.02817
ZnCoatedSteel,5,62.28,321.6,3.05,3.78,0.161,19.66,0.405,74,0.842,0,6.16,0.00707
ZnCoatedSteel,0,19.84,309.9,24.4,7.44,0.128,12.65,0.203,82,0.356,0,6.74,0.02689
Copper,15,57.14,250.6,17.73,2.12,0.095,59.5,0.569,167,1.236,0,6.31,0.01641
LowCarbonSteel,5,43.14,0,4.75,3.51,0.153,32.9,0.434,69,0.401,1,6.2,0.01728
ZnCoatedSteel,10,63.36,306.9,13.1,4.93,0.188,62.21,0.352,75,1.326,0,6.48,0.00604
ZnCoatedSteel,5,40.93,414.4,1.92,6.4,0.101,32.79,0.829,110,0.438,1,6.62,0.01433
Copper,0,29.99,298.8,1.7,4.32,0.085,27.7,0.301,252,0.837,0,6.73,0.02856
Brass,5,37.27,463.1,3.67,3.01,0.149,33.16,0.174,94,1.809,0,6.48,0.01703
ZnCoatedSteel,5,22.15,440.2,13.96,5.37,0.083,50.41,0.875,44,1.274,1,6.89,0.02461
Brass,5,15.21,329.2,3.28,0.92,0.098,26.22,0.449,260,1.657,1,6.97,0.02606
LowCarbonSteel,15,46.55,495.1,7.84,1.81,0.18,75.16,0.771,157,1.628,0,6.58,0.03715
Copper,5,61.05,369.3,10.16,2.14,0.15,27.79,0.591,154,1.484,0,7.21,0.01803
SS304,5,67.72,410.2,0.02,1.51,0.071,23.55,0.333,116,1.407,0,6.55,0.00096
SS304,0,46.83,267.9,17.24,0.54,0.114,5.65,0.881,313,2.131,0,7.02,0.00251
LowCarbonSteel,0,31.45,175.5,0.94,0.54,0.147,9.63,0.466,89,0.05,0,6.33,0.0515
Al6061,5,60.14,449,11.46,5.11,0.13,30.33,0.661,131,1.609,0,6.4,0.00409
Al6061,0,23.19,123.5,12.65,4.16,0.157,0.5,0.914,326,0.82,0,7,0.02046
Copper,5,24.58,198.9,4.55,4.38,0.122,20.98,0.781,305,1.795,0,6.34,0.04204
ZnCoatedSteel,10,68.83,375.9,3.7,7.65,0.043,68.91,0.732,307,1.542,0,6.54,0.00545
LowCarbonSteel,5,18.29,413.9,3.75,5.8,0.141,29.89,0.41,156,1.019,0,6.54,0.11606
Brass,10,35.77,564.6,11.93,0.76,0.136,63.97,0.829,198,1.241,0,6.82,0.02405
Brass,10,51.46,359.3,5.43,5.55,0.095,55.36,0.256,149,1.824,1,7.09,0.01223
ZnCoatedSteel,15,39.38,444.8,7.9,1.8,0.154,44.28,0.374,160,1.575,0,6.85,0.01327
SS304,5,60.9,514.3,12.23,6.11,0.166,33.51,0.343,332,1.215,0,6.64,0.00157
Al6061,5,45.25,156.9,13.12,5.84,0.158,32.45,0.224,168,1.482,0,6.56,0.00676
SS304,15,28.66,492.7,4.25,6.41,0.225,42.07,0.631,93,0.583,1,5.85,0.00349
Brass,5,52.81,444.6,8.21,7.2,0.111,36.26,0.44,260,1.598,1,6.54,0.01122
Brass,0,68.91,362.9,14.5,7.63,0.12,18.5,0.258,175,1.47,0,6.63,0.01021
SS304,15,40.6,379.9,4.31,2.44,0.154,73.3,0.084,235,1.262,0,6.48,0.00327
Brass,10,43.09,328.1,5.41,2.17,0.162,60.49,0.645,125,1.734,0,6.89,0.01826
Brass,0,16.98,265.4,5.58,7.56,0.122,28.39,0.007,261,0.742,0,7.27,0.04415
Al6061,0,61.62,416.3,8.81,4.55,0.06,32.82,0.742,188,0.846,0,6.71,0.00473
Brass,10,59.89,479,8.34,5.82,0.16,48.17,0.811,290,0.928,0,6.31,0.01091
Brass,5,25.29,192.3,9.13,2.02,0.125,8.81,0.097,165,0.671,0,6.37,0.0177
Brass,15,23.67,267.7,8.86,5.58,0.086,61.27,0.086,35,1.665,0,6.52,0.04059
Al6061,5,63.92,416.6,8.36,1.84,0.123,38.1,0.051,217,1.85,0,6.41,0.00374
Copper,10,46.7,110.9,13.14,4.05,0.085,49.42,0.889,158,0.05,0,7.03,0.02601
ZnCoatedSteel,10,53.13,255,1.66,4.61,0.098,52.45,0.872,92,1.1,0,6.56,0.0086
SS304,5,56.91,367.2,6.43,2.76,0.115,24.92,0.15,282,2.681,1,6.92,0.00099
LowCarbonSteel,15,57.7,400.2,9.63,7.29,0.141,74.97,0.23,222,1.658,0,6.57,0.03049
SS304,0,19.85,247.5,0.81,7.95,0.11,21.43,0.283,131,1.537,0,6.02,0.00711
SS304,15,60.98,427.8,7.11,6.24,0.123,64.95,1.206,319,0.856,0,6.04,0.0012
SS304,5,36.33,130.1,3.53,5.11,0.13,35.03,0.243,148,1.791,0,7.29,0.0031
Al6061,10,21.65,345.6,5.4,2.01,0.109,33.34,0.413,108,0.584,0,6.19,0.01419
LowCarbonSteel,15,36.58,260,3.17,7.59,0.168,78.51,0.837,172,0.372,0,6.69,0.05963
Copper,5,66.78,285.1,26.11,4.97,0.077,34.6,0.188,212,0.897,0,6.85,0.01454
Copper,10,67.8,410.8,2.46,4.18,0.128,50.87,0.276,42,0.276,1,6.11,0.00706
SS304,10,45.33,406.4,18.34,2.51,0.046,62.46,0.089,100,0.117,1,6.79,0.00194
Brass,5,25.78,439.9,14.53,7.85,0.149,22.51,0.251,115,0.701,0,6.77,0.02781
SS304,15,43.62,500.3,10.33,7.23,0.115,51.78,0.589,207,0.451,1,7.08,0.0018
Brass,10,35.75,368.5,9.43,3.98,0.111,51.83,0.379,152,2.522,0,6.07,0.01574
ZnCoatedSteel,15,26.59,507.5,5.48,4.65,0.076,55.58,0.401,109,1.09,0,7.12,0.0298
SS304,5,42.7,186.8,9.62,2.71,0.104,30.31,0.282,218,0.67,0,6.87,0.00215
Brass,15,61.72,261.3,9.63,6.3,0.17,42.18,0.396,94,1.179,0,6.52,0.01038
Copper,10,67,287.6,1.08,7.22,0.107,35.39,0.155,106,0.478,1,6.62,0.01264
SS304,5,47.62,155.6,0.45,3.06,0.036,40.43,0.24,100,1.406,0,7.3,0.00235
ZnCoatedSteel,5,69.62,538.1,1.49,0.61,0.13,51.62,0.682,36,1.167,0,5.84,0.00713
SS304,0,69.21,408.9,3.8,3.95,0.038,15.74,0.63,111,0.813,1,7.01,0.00078
ZnCoatedSteel,0,21.42,193.8,15.81,5.97,0.07,22.46,0.382,102,0.218,1,6.61,0.01786
LowCarbonSteel,0,61.86,239.5,5.19,6.88,0.05,11.11,0.472,192,1.401,0,6.49,0.02831
LowCarbonSteel,10,34.52,445.7,0.52,1.16,0.217,66.77,0.783,177,0.083,0,6.38,0.03854
Copper,15,64.97,488.4,9.53,1.27,0.137,95.84,0.235,232,0.926,1,6.79,0.0097
SS304,10,47.38,321.3,12.8,7,0.099,51.59,0.666,188,0.514,0,7.25,0.00218
Brass,5,39.66,237,6.67,2.12,0.166,35.84,1.349,38,1.621,0,6.68,0.02253
SS304,15,31.83,403.2,6.03,0.68,0.144,64.78,0.09,191,1.442,0,7.13,0.0045
SS304,10,41.81,651,6.96,4.04,0.114,62.92,0.377,47,1.473,0,7.47,0.00311
SS304,0,39.25,0,17.43,4.99,0.058,17.36,0.456,264,0.484,0,6.59,0.00252
Copper,10,49.18,383.3,19.64,0.66,0.01,64.77,0.264,71,1.206,0,7.39,0.037
Brass,5,57.3,147.8,11.05,3.4,0.103,40.57,0.768,215,1.699,1,6.83,0.0083
Copper,5,66.42,267.2,5.01,7.1,0.095,33.33,0.172,249,1.632,0,7.09,0.01615
Brass,10,47.66,572.3,4.6,7.24,0.075,50.47,0.273,130,1.44,0,6.08,0.01227
Brass,5,49.6,318.1,1.24,4.42,0.132,39.74,0.087,320,0.632,0,6.51,0.01312
SS304,0,29.71,230.1,6.46,6.22,0.158,11.93,0.887,299,1.342,1,7.03,0.00263
Copper,10,46.13,391.3,3.03,3.08,0.123,58.42,0.331,255,0.134,0,6.52,0.02749
Copper,5,60.66,379.3,1.1,7.21,0.156,37.13,0.715,225,1.709,0,7.01,0.01281
Copper,10,63.75,389.2,6.33,3.86,0.194,53.68,0.586,109,1.258,0,6.64,0.01229
ZnCoatedSteel,15,61.41,505.6,31.27,5.97,0.092,77.28,0.061,193,0.253,0,6.59,0.00932
ZnCoatedSteel,10,44.12,253.4,8.87,2.53,0.206,46.62,0.141,279,1.359,0,7.39,0.01962
LowCarbonSteel,5,30.57,630.4,11.78,2.6,0.075,31.86,0.785,203,1.442,1,6.55,0.04148
Al6061,5,21.03,305.6,17.2,1.45,0.075,44.29,0.677,270,2.451,0,6.54,0.02251
SS304,0,57.66,393.6,4.82,3.69,0.086,45.64,0.653,252,1.2,0,7.11,0.00174
SS304,5,20.74,248.7,2.62,5.34,0.092,33.2,0.183,178,0.697,0,6.87,0.0048
ZnCoatedSteel,15,50.19,448.7,13.17,3.7,0.175,64.24,0.786,217,0.986,0,6.6,0.01072
LowCarbonSteel,10,50.35,150.4,15.78,4.78,0.158,42.27,0.134,256,1.593,0,6.97,0.03193
ZnCoatedSteel,5,34.15,195.6,7.05,1.02,0.148,18.46,0.042,300,0.356,1,6.11,0.01497
Al6061,0,61.38,316.7,4,6.56,0.124,24.96,0.887,48,0.691,0,7.59,0.00789
Al6061,0,26.31,26,19.68,7.22,0.125,23.59,0.011,220,1.372,0,6.36,0.01684
Copper,5,29.49,366.1,10.85,6.82,0.123,22.05,0.722,169,0.872,0,7.15,0.04007
SS304,0,65.73,216.1,8.09,6.3,0.157,20.34,0.576,58,2.338,1,6.6,0.00068
SS304,10,21.01,437.8,4.08,5.93,0.101,65.72,0.022,270,2.141,0,6.46,0.00672
SS304,15,39.2,471.6,2.39,3.51,0.11,75.96,0.214,186,1.13,0,7.13,0.00287
Brass,15,54.15,437.8,9.4,1.9,0.104,75.13,0.669,37,1.277,1,6.99,0.01568
LowCarbonSteel,5,39.07,396.4,5.78,2.79,0.122,20.77,0.369,150,1.15,0,7.29,0.05347
LowCarbonSteel,5,50.65,242.2,15.25,7.91,0.141,30.9,0.596,123,0.988,0,6.17,0.0253
Brass,15,59.7,433.7,1.11,4.94,0.154,69.62,0.182,227,1.22,1,7.19,0.00902
Brass,0,27.33,240.5,10.26,5.31,0.075,7.49,0.682,191,1.192,0,6.63,0.0404
Al6061,10,30.83,447.2,26.09,6.43,0.113,49.81,0.629,269,1.176,0,7.38,0.01781
ZnCoatedSteel,5,54.23,436.3,6.07,7.13,0.128,34.06,0.461,310,0.964,0,6.74,0.01225
SS304,5,42.14,295,3.11,5.4,0.127,33.13,0.118,68,1.218,0,6.15,0.00188
Copper,5,68.37,344,10.09,1.8,0.033,41.54,1.075,169,0.882,1,7.08,0.00969
Copper,5,56.53,268.1,10.28,0.6,0.13,31.41,1.154,303,0.917,0,6.46,0.02509
LowCarbonSteel,5,40.47,0,9.74,6.35,0.094,49.9,0.316,261,1.557,1,6.57,0.02707
LowCarbonSteel,15,28.33,461,5.6,1.87,0.176,82.98,1.367,130,0.429,0,6.87,0.07735
SS304,5,52.68,173.7,8.37,3.92,0.111,30.87,0.194,319,0.176,0,7.32,0.00152
ZnCoatedSteel,5,32.84,577.7,1.8,1.52,0.035,38.92,0.443,151,1.737,1,7.07,0.01167
LowCarbonSteel,0,47.92,98.9,16.23,2.99,0.109,14.78,0.312,253,1.644,1,6.44,0.02413
ZnCoatedSteel,10,41.51,367.8,14.49,5.12,0.134,63.29,0.205,171,0.237,0,6.9,0.01907
Al6061,0,65.7,458.9,3.89,2.07,0.131,30.18,1.067,41,0.926,0,6.66,0.00764
Al6061,15,64.76,302,16.42,6.72,0.161,63.92,0.614,112,1.471,0,6.8,0.00643
Brass,5,15.51,214.2,1.36,5.6,0.127,13.99,0.343,276,1.752,1,7.48,0.03711
LowCarbonSteel,0,67.7,144.3,8.51,0.59,0.095,21.07,0.839,220,2.027,0,6.89,0.02142
LowCarbonSteel,5,59.63,365.3,2.96,5.9,0.113,21.56,0.038,136,1.666,0,7.05,0.02326
Brass,15,24.67,478.5,9.08,5.04,0.143,75.87,0.1,245,1.885,0,6.04,0.03993
ZnCoatedSteel,5,32.36,153.9,2.49,3.53,0.044,33.94,1.069,322,1.365,1,6.54,0.01464
LowCarbonSteel,5,43.57,345.5,8.71,3.6,0.155,34.05,0.627,239,1.088,1,6.91,0.02626
ZnCoatedSteel,5,64.1,204.3,6.41,6.65,0.078,37.6,0.374,226,1.135,1,6.7,0.00947
Al6061,0,38.54,198.8,9.89,3.03,0.073,15.86,0.1,29,0.776,0,6.71,0.00782
Copper,5,57.55,285.7,9.79,5.12,0.133,30.15,0.345,135,1.012,1,6.24,0.00926
Brass,10,55.18,355.6,14.81,1.19,0.155,43.19,0.099,321,1.961,0,6.34,0.0101
Brass,10,67.21,294.8,3.05,3.42,0.166,51.69,0.038,207,1.838,0,6.52,0.0089
SS304,15,19.05,275.1,3.28,7.2,0.21,80.69,0.414,277,0.731,0,6.93,0.00634
LowCarbonSteel,10,21.49,0,6.18,5.86,0.091,51.5,0.086,36,0.482,1,6.53,0.05703
Al6061,5,20.91,255.2,4.08,0.97,0.093,36.91,1.007,313,2.171,0,6.62,0.02557
LowCarbonSteel,10,50.7,246.2,3.85,0.82,0.111,36.75,0.811,125,1.966,0,6.48,0.03378
Brass,5,49.03,387.5,6.73,1.64,0.157,46.6,0.58,263,1.754,1,6.23,0.00785
LowCarbonSteel,15,29.23,622.6,4.55,6.09,0.193,78.12,0.391,65,0.05,0,6.94,0.07399
ZnCoatedSteel,5,68.88,341.8,22.32,1.71,0.099,23.8,0.711,285,1.079,1,6.78,0.00501
Copper,10,27.93,548.3,2.97,3.34,0.143,48.47,0.022,224,1.864,0,7.32,0.04667
Brass,0,65.19,60.3,14.61,3.83,0.081,12.58,0.399,28,1.167,0,7.19,0.01161
Al6061,5,55.52,383.2,13.23,3.79,0.106,59.27,0.379,279,1.187,0,6.91,0.00602
Al6061,5,45.89,370.2,4.68,1.06,0.114,20.4,0.703,102,1.298,0,6.73,0.00773
SS304,15,43.65,444.2,8.57,3.41,0.167,71.17,0.369,208,1.094,0,6.31,0.00264
ZnCoatedSteel,5,24.01,109.1,10.46,1.61,0.132,20.21,0.791,93,1.509,1,7.13,0.02011
LowCarbonSteel,15,49.97,605.9,11.01,7.61,0.137,73.12,0.412,222,1.525,0,6.79,0.02508
Brass,0,19.84,168.5,17.46,3.53,0.079,43.77,0.04,72,1.356,0,6.88,0.03394
SS304,10,48.02,274.2,19.1,7.77,0.146,51,0.427,66,0.587,0,6.8,0.00194
SS304,15,24.89,156.4,1.06,7.83,0.172,52.83,1.045,276,0.637,1,5.88,0.00346
Al6061,5,34.93,388.1,5.77,3.54,0.117,37.44,0.326,169,0.897,1,7.16,0.00882
SS304,10,51.93,539.7,5.77,4.33,0.145,44.56,0.321,241,1.762,0,6.67,0.00149
Al6061,5,25.7,365.1,1.14,0.68,0.1,48.62,0.439,162,0.882,0,6.54,0.01509
Brass,5,50.24,346.4,3.41,5.94,0.196,30.33,0.01,32,0.718,0,6.6,0.01334
LowCarbonSteel,0,53.99,439,6.61,5.56,0.064,5.31,0.753,166,0.73,0,6.37,0.02235
Al6061,15,29.95,476,9.25,4.93,0.146,70.87,0.506,257,1.091,0,6.39,0.01973
SS304,15,52.32,354.4,11.61,3.09,0.169,68.94,1.055,109,2.068,0,6.56,0.00161
Brass,15,25.59,439.2,14.53,6.94,0.135,68.76,0.147,305,1.419,0,7.57,0.03079
Copper,15,35.88,473.2,11.77,4.69,0.198,63.41,0.37,117,1.75,0,6.38,0.03171
Copper,10,53.58,445.4,6.39,3.46,0.151,60.31,0.12,242,1.724,0,6.42,0.01288
ZnCoatedSteel,0,62.4,219.9,14.52,0.68,0.108,0.5,0.218,236,0.966,0,6.88,0.00781
LowCarbonSteel,0,36.67,391.5,2.65,7.21,0.133,6.69,0.167,200,1.694,0,6.64,0.03119
Al6061,15,27.81,398.1,3.99,1.38,0.131,61.55,1.507,309,0.394,0,6.48,0.01763
ZnCoatedSteel,0,67.6,202.2,1.52,3.89,0.179,28.57,1.013,101,1.955,0,7.01,0.00634
